Bab Ezzouar, Algeria,
Babol, Iran,
Babruysk, Belarus,
Bacău, Romania,
Bacolod, Philippines,
Bacoor, Philippines,
Badajoz, Spain,
Badalona, Spain,
Bafoussam, Cameroon,
Bagé, Brazil,
Baghdad, Iraq,
Bago City, Philippines,
Bago, Myanmar,
Baguio, Philippines,
Baharampur, India,
Bahawalnagar, Pakistan,
Bahawalpur, Pakistan,
Bahía Blanca, Argentina,
Bahir Dar, Ethiopia,
Bahraich, India,
Baia Mare, Romania,
Baicheng, China,
Baidoa, Somalia,
Baise, China,
Baishan, China,
Baiyin, China,
Bakersfield, United States,
Baku, Azerbaijan,
Balakovo, Russia,
Balashikha, Russia,
Baleshwar, India,
Balıkesir, Turkey,
Balikpapan, Indonesia,
Baliuag, Philippines,
Bally, India,
Bălți, Moldova,
Baltimore, United States,
Balurghat, India,
Bamako, Mali,
Bamenda, Cameroon,
Banda Aceh, Indonesia,
Bandar Abbas, Iran,
Bandırma, Turkey,
Bandung, Indonesia,
Bangalore, India,
Bangkok, Thailand,
Bangui, Central African Republic,
Banha, Egypt,
Bani Suwayf, Egypt,
Banja Luka, Bosnia and Herzegovina,
Banjarmasin, Indonesia,
Banjul, Gambia,
Bankura, India,
Baoding, China,
Baoji, China,
Baoshan, China,
Baotou, China,
Barakaldo, Spain,
Baraki, Algeria,
Baranagar, India,
Baranovichi, Belarus,
Barbacena, Brazil,
Barcelona, Venezuela,
Barcelona, Spain,
Bardhaman, India,
Bareilly, India,
Bari, Italy,
Barika, Algeria,
Barinas, Venezuela,
Barisal, Bangladesh,
Barnaul, Russia,
Barquisimeto, Venezuela,
Barra Mansa, Brazil,
Barrackpur, India,
Barrancabermeja, Colombia,
Barranquilla, Colombia,
Barreiras, Brazil,
Barretos, Brazil,
Barrie, Canada,
Barueri, Brazil,
Baruta, Venezuela,
Barysaw, Belarus,
Basel, Switzerland,
Basirhat, India,
Basra, Iraq,
Bat Yam, Israel,
Batala, India,
Batam, Indonesia,
Batangas City, Philippines,
Bataysk, Russia,
Bath, United Kingdom,
Bathinda, India,
Batman, Turkey,
Batna, Algeria,
Baton Rouge, United States,
Battambang, Cambodia,
Batu, Indonesia,
Batumi, Georgia,
Batu Pahat, Malaysia,
Bauru, Brazil,
Bayambang, Philippines,
Bayamo, Cuba,
Bayamón, Puerto Rico,
Bayannur, China,
Bayawan, Philippines,
Baybay, Philippines,
Bazhou, China,
Beau-Bassin, Mauritius,
Beaumont, United States,
Beauvais, France,
Beawar, India,
Béchar, Algeria,
Beed, India,
Beersheba, Israel,
Bei'an, China,
Beihai, China,
Beijing, China,
Beipiao, China,
Beirut, Lebanon,
Béjaïa, Algeria,
Bekasi, Indonesia,
Belém, Brazil,
Belfast, United Kingdom,
Belford Roxo, Brazil,
Belgaum, India,
Belgorod, Russia,
Belgrade, Serbia,
Bellary, India,
Bellevue, United States,
Bello, Colombia,
Belo Horizonte, Brazil,
Bengbu, China,
Benghazi, Libya,
Benguela, Angola,
Beni Mellal, Morocco,
Benito Juárez, Mexico,
Benoni, South Africa,
Benxi, China,
Beppu, Japan,
Berbera, Somalia,
Berdyansk, Ukraine,
Berezniki, Russia,
Bergamo, Italy
Bergen, Norway,
Bergisch Gladbach, Germany,
Berhampur, India,
Berkeley, United States,
Berlin, Germany,
Bern,  Switzerland,
Besançon, France,
Betim, Brazil,
Bettiah, India,
Bhadravati, India,
Bhagalpur, India,
Bhalwal, Pakistan,
Bharatpur, India,
Bharatpur,   Nepal,
Bharuch, India,
Bhatpara, India,
Bhavnagar, India,
Bhilai, India,
Bhilwara, India,
Bhimavaram, India,
Bhind, India,
Bhiwandi, India,
Bhiwani, India,
Bhopal, India,
Bhubaneswar, India,
Bhuj, India,
Bhusawal, India,
Białystok, Poland,
Bidar, India,
Bielefeld, Germany,
Bielsko-Biała, Poland,
Bihar Sharif, India,
Bijapur, India,
Bikaner, India,
Bila Tserkva, Ukraine,
Bilaspur, India,
Bilbao, Spain,
Billings, United States,
Biñan, Philippines,
Binangonan, Philippines,
Binzhou, China,
Biratnagar, Nepal,
Birjand, Iran,
Birmingham, United Kingdom,
Birmingham, United States,
Bishkek, Kyrgyzstan,
Bislig, Philippines,
Biskra, Algeria,
Bissau, Guinea-Bissau,
Biysk, Russia,
Bizerte, Tunisia,
Blackburn, United Kingdom,
Blackpool, United Kingdom,
Blagoveshchensk, Russia,
Blantyre, Malawi,
Blida, Algeria,
Bloemfontein, South Africa,
Blumenau, Brazil,
Bnei Brak, Israel,
Boa Vista, Brazil,
